id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,received_at
5881,2,1356,30.2,68,-59,8.75,20355,t,2026-09-05 17:47:13.925802+00
5882,1,844,25.8,81.6,-95,5.25,12675,t,2026-09-05 17:47:21.084721+00
5883,2,1357,30.4,68,-58,9.5,20370,t,2026-09-05 17:47:28.921827+00
5884,1,845,25.8,81.6,-95,5.25,12690,t,2026-09-05 17:47:36.08257+00
5885,2,1358,30.9,68,-60,9,20385,t,2026-09-05 17:47:43.924059+00
5886,1,846,25.8,81.6,-95,5,12705,t,2026-09-05 17:47:51.082345+00
5887,2,1359,30.9,68,-61,9.25,20400,t,2026-09-05 17:47:59.412644+00
5888,1,847,25.8,81.7,-94,5,12720,t,2026-09-05 17:48:06.081792+00
5889,2,1360,30.9,68,-61,8.75,20415,t,2026-09-05 17:48:14.067523+00
5890,1,848,25.9,81.6,-95,5,12735,t,2026-09-05 17:48:21.082488+00
5891,2,1361,30,68,-60,9.5,20430,t,2026-09-05 17:48:28.923413+00
5892,1,849,25.9,81.6,-94,4.75,12750,t,2026-09-05 17:48:36.166671+00
5893,2,1362,30.1,68,-61,9.5,20445,t,2026-09-05 17:48:44.167218+00
5894,1,850,25.8,81.6,-94,5.25,12765,t,2026-09-05 17:48:51.078718+00
5895,2,1363,30.7,68,-60,9.25,20460,t,2026-09-05 17:48:59.208164+00
5896,1,851,25.9,81.7,-95,5.25,12780,t,2026-09-05 17:49:06.079034+00
5897,2,1364,30.9,68,-60,9.25,20475,t,2026-09-05 17:49:13.922235+00
5898,1,853,25.8,81.6,-95,5,12810,t,2026-09-05 17:49:36.081933+00
5899,2,1366,30,68,-60,8.75,20505,t,2026-09-05 17:49:43.918857+00
5900,1,854,25.9,81.6,-94,5,12825,t,2026-09-05 17:49:51.494619+00
5901,2,1367,30.9,68,-60,9,20520,t,2026-09-05 17:49:59.213387+00
5902,2,1368,30.1,68,-59,9.5,20535,t,2026-09-05 17:50:14.168241+00
5903,1,856,25.9,81.7,-95,5,12855,t,2026-09-05 17:50:21.079314+00
5904,2,1369,30.5,68,-58,9.5,20550,t,2026-09-05 17:50:29.116652+00
5905,1,857,25.9,81.7,-95,5,12870,t,2026-09-05 17:50:36.232469+00
5906,2,1370,30.6,68,-58,9.5,20565,t,2026-09-05 17:50:44.065316+00
5907,2,1371,30.2,68,-59,9.5,20580,t,2026-09-05 17:50:59.079225+00
5908,2,1372,30.5,68,-58,9.25,20595,t,2026-09-05 17:51:13.916948+00
5909,1,860,25.9,81.7,-95,5.25,12915,t,2026-09-05 17:51:21.07595+00
5910,2,1373,30.7,68,-59,9.5,20610,t,2026-09-05 17:51:28.916659+00
5911,1,861,25.9,81.7,-94,5,12930,t,2026-09-05 17:51:36.196067+00
5912,2,1374,30.9,68,-58,9.75,20625,t,2026-09-05 17:51:43.918765+00
5913,1,862,25.9,81.7,-94,5,12945,t,2026-09-05 17:51:51.077935+00
5914,2,1375,30.1,68,-58,9.5,20640,t,2026-09-05 17:51:58.919495+00
5915,1,863,25.9,81.6,-94,5.25,12960,t,2026-09-05 17:52:06.093031+00
5916,2,1376,30.4,68,-58,9.5,20655,t,2026-09-05 17:52:13.914976+00
5917,1,864,25.9,81.7,-95,5.5,12975,t,2026-09-05 17:52:21.074373+00
5918,2,1377,30.6,68,-60,9.25,20670,t,2026-09-05 17:52:29.228568+00
5919,1,865,25.8,81.7,-94,4.5,12990,t,2026-09-05 17:52:36.074949+00
5920,2,1378,30.3,68,-59,8.75,20685,t,2026-09-05 17:52:43.912999+00
5921,1,866,25.9,81.7,-94,5,13005,t,2026-09-05 17:52:51.075042+00
5922,2,1379,30.1,68,-59,9.25,20700,t,2026-09-05 17:52:58.912983+00
5923,1,867,25.9,81.7,-95,5,13020,t,2026-09-05 17:53:06.076418+00
5924,2,1380,30.7,68,-59,9.5,20715,t,2026-09-05 17:53:14.203947+00
5925,1,868,25.9,81.7,-95,5.25,13035,t,2026-09-05 17:53:21.355502+00
5926,2,1381,30.8,68,-59,9.5,20730,t,2026-09-05 17:53:28.912256+00
5927,1,869,25.8,81.7,-94,5,13050,t,2026-09-05 17:53:36.072673+00
5928,2,1382,30.3,68,-59,9,20745,t,2026-09-05 17:53:43.984713+00
5929,1,870,25.8,81.7,-95,5,13065,t,2026-09-05 17:53:51.213909+00
5930,2,1383,30.2,68,-59,9.25,20760,t,2026-09-05 17:53:59.200229+00
5931,1,871,25.8,81.7,-95,5,13080,t,2026-09-05 17:54:06.213939+00
5932,2,1384,30.5,68,-59,9.25,20775,t,2026-09-05 17:54:13.911461+00
5933,2,1385,30.6,68,-59,9.25,20790,t,2026-09-05 17:54:28.912996+00
5934,1,873,25.8,81.7,-94,5,13110,t,2026-09-05 17:54:36.073585+00
5935,2,1386,30.9,68,-59,8.75,20805,t,2026-09-05 17:54:44.153913+00
5936,2,1387,30.1,68,-61,9.25,20820,t,2026-09-05 17:54:58.909+00
5937,1,875,25.8,81.9,-95,4.75,13140,t,2026-09-05 17:55:06.290132+00
5938,2,1388,30.6,68,-61,9,20835,t,2026-09-05 17:55:13.910958+00
5939,1,876,25.8,81.9,-96,9.5,13155,t,2026-09-05 17:55:21.127644+00
5940,2,1389,30,68,-60,9,20850,t,2026-09-05 17:55:28.908679+00
5941,1,877,25.8,81.9,-94,5,13170,t,2026-09-05 17:55:36.215034+00
5942,2,1390,30.1,68,-60,9,20865,t,2026-09-05 17:55:44.307079+00
5943,1,878,25.8,81.9,-95,4.5,13185,t,2026-09-05 17:55:51.109179+00
5944,2,1391,30.6,68,-60,9,20880,t,2026-09-05 17:55:58.90913+00
5945,1,879,25.6,82,-95,5.25,13200,t,2026-09-05 17:56:06.115574+00
5946,2,1392,30.1,68,-61,9.25,20895,t,2026-09-05 17:56:13.907363+00
5947,1,880,25.8,81.9,-95,5,13215,t,2026-09-05 17:56:21.10934+00
5948,2,1393,30.5,68,-60,9,20910,t,2026-09-05 17:56:28.908142+00
5949,1,881,25.8,81.9,-96,5,13230,t,2026-09-05 17:56:36.124312+00
5950,1,882,25.8,81.9,-95,4.5,13245,t,2026-09-05 17:56:51.10914+00
5951,2,1395,30.1,68,-59,8.5,20940,t,2026-09-05 17:56:58.909027+00
5952,1,883,25.8,81.9,-94,5,13260,t,2026-09-05 17:57:06.110878+00
5953,2,1396,30.8,68,-59,9.5,20955,t,2026-09-05 17:57:13.907611+00
5954,1,884,25.8,81.9,-96,4.25,13275,t,2026-09-05 17:57:21.179547+00
5955,2,1397,30.2,68,-61,9.25,20970,t,2026-09-05 17:57:29.26387+00
5956,1,885,25.8,81.9,-95,4.25,13290,t,2026-09-05 17:57:36.107008+00
5957,2,1398,30.5,69,-60,9.25,20985,t,2026-09-05 17:57:44.011199+00
5958,1,886,25.8,81.9,-95,5,13305,t,2026-09-05 17:57:51.107598+00
5959,2,1399,30.2,69,-60,8.75,21000,t,2026-09-05 17:57:59.062276+00
5960,1,887,25.8,81.9,-95,5.75,13320,t,2026-09-05 17:58:06.230778+00
5961,2,1400,30.6,68,-61,9,21015,t,2026-09-05 17:58:13.912631+00
5962,1,888,25.8,81.9,-95,4.75,13335,t,2026-09-05 17:58:21.109596+00
5963,2,1401,30.1,69,-60,9.25,21030,t,2026-09-05 17:58:29.067193+00
5964,1,889,25.8,81.9,-95,4.5,13350,t,2026-09-05 17:58:36.105827+00
5965,2,1402,30.5,69,-60,9,21045,t,2026-09-05 17:58:43.903367+00
5966,1,890,25.8,81.9,-95,4.75,13365,t,2026-09-05 17:58:51.107056+00
5967,2,1403,30,68,-59,9,21060,t,2026-09-05 17:58:59.172554+00
5968,1,891,25.8,82,-95,5,13380,t,2026-09-05 17:59:06.242941+00
5969,2,1404,30.9,69,-60,9.25,21075,t,2026-09-05 17:59:14.121053+00
5970,1,892,25.8,82,-95,5,13395,t,2026-09-05 17:59:21.453026+00
5971,2,1405,30.9,69,-61,9,21090,t,2026-09-05 17:59:28.90215+00
5972,1,893,25.8,82,-95,4.5,13410,t,2026-09-05 17:59:36.106004+00
5973,2,1406,30.9,69,-60,9.25,21105,t,2026-09-05 17:59:43.900916+00
5974,1,894,25.8,82,-95,4.5,13425,t,2026-09-05 17:59:51.293912+00
5975,1,895,25.8,82,-94,5,13440,t,2026-09-05 18:00:06.103429+00
5976,2,1408,30.3,68,-60,9,21135,t,2026-09-05 18:00:14.03085+00
5977,1,896,25.8,82,-95,4.5,13455,t,2026-09-05 18:00:21.194328+00
5978,2,1409,30,68,-60,9,21150,t,2026-09-05 18:00:28.901022+00
5979,1,897,25.8,82,-96,4.75,13470,t,2026-09-05 18:00:36.350876+00
5980,2,1410,30,69,-60,9,21165,t,2026-09-05 18:00:43.900685+00
5981,1,898,25.8,82,-95,4.5,13485,t,2026-09-05 18:00:51.396469+00
5982,2,1411,30.6,68,-61,9,21180,t,2026-09-05 18:00:58.901007+00
5983,1,899,25.8,82,-94,4.75,13500,t,2026-09-05 18:01:06.251072+00
5984,2,1412,30,68,-60,9.25,21195,t,2026-09-05 18:01:14.232942+00
5985,1,900,25.8,82,-95,4.5,13515,t,2026-09-05 18:01:21.102411+00
5986,2,1413,30,68,-60,9,21210,t,2026-09-05 18:01:28.900032+00
5987,1,901,25.8,82,-95,4.75,13530,t,2026-09-05 18:01:36.253224+00
5988,2,1414,30.9,68,-61,9.25,21225,t,2026-09-05 18:01:43.89839+00
5989,1,902,25.8,82,-95,4.75,13545,t,2026-09-05 18:01:51.100773+00
5990,2,1415,30.9,68,-61,9.25,21240,t,2026-09-05 18:01:58.898959+00
5991,1,903,25.8,82.1,-94,4.5,13560,t,2026-09-05 18:02:06.3576+00
5992,2,1416,30,68,-60,9.5,21255,t,2026-09-05 18:02:14.1073+00
5993,1,904,25.8,82.1,-95,4.5,13575,t,2026-09-05 18:02:21.1002+00
5994,2,1417,30.8,69,-61,9,21270,t,2026-09-05 18:02:29.517935+00
5995,1,905,25.8,82.1,-96,4.75,13590,t,2026-09-05 18:02:36.100332+00
5996,2,1418,30.8,69,-62,9,21285,t,2026-09-05 18:02:44.043481+00
5997,1,906,25.8,82.1,-95,4.5,13605,t,2026-09-05 18:02:51.101629+00
5998,2,1419,30.8,69,-62,8.75,21300,t,2026-09-05 18:03:00.22667+00
