id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,error,received_at
4230,2,413,30.3,69,-46,9.5,6210,t,,2026-09-05 13:51:29.291631+00
4231,2,414,30.2,69,-47,9.75,6225,t,,2026-09-05 13:51:44.395974+00
4232,2,415,30.9,69,-47,9.75,6240,t,,2026-09-05 13:51:59.552047+00
4233,1,292,26.1,76.8,-100,-9,4395,t,,2026-09-05 13:52:10.701915+00
4234,2,416,30.7,68,-46,9.75,6255,t,,2026-09-05 13:52:14.28965+00
4235,1,293,26.1,76.9,-100,-8.75,4410,t,,2026-09-05 13:52:25.701432+00
4236,2,417,30.5,68,-42,10,6270,t,,2026-09-05 13:52:29.350346+00
4237,1,294,26.1,77,-100,-7.25,4425,t,,2026-09-05 13:52:41.083121+00
4238,2,418,30.3,69,-42,9.5,6285,t,,2026-09-05 13:52:44.288795+00
4239,2,419,30.1,68,-42,9.75,6300,t,,2026-09-05 13:52:59.289476+00
4240,2,420,30.6,69,-43,9.75,6315,t,,2026-09-05 13:53:14.563297+00
4241,2,421,30.4,69,-43,9.75,6330,t,,2026-09-05 13:53:29.428551+00
4242,2,422,30.5,69,-41,9.5,6345,t,,2026-09-05 13:53:44.294037+00
4243,2,423,30,69,-41,9.75,6360,t,,2026-09-05 13:53:59.395601+00
4244,2,424,30.4,69,-44,9.5,6375,t,,2026-09-05 13:54:14.28993+00
4245,2,425,30.3,69,-45,9.25,6390,t,,2026-09-05 13:54:29.28789+00
4246,2,427,30.2,69,-46,9.75,6420,t,,2026-09-05 13:54:59.663679+00
4247,2,428,30,69,-46,9.25,6435,t,,2026-09-05 13:55:14.41687+00
4248,2,429,30.3,69,-45,10.25,6450,t,,2026-09-05 13:55:29.283155+00
4249,2,430,30.4,69,-46,9.5,6465,t,,2026-09-05 13:55:44.283226+00
4250,2,431,30.6,69,-46,9.75,6480,t,,2026-09-05 13:55:59.282477+00
4251,2,432,30.7,69,-46,9.5,6495,t,,2026-09-05 13:56:14.529554+00
4252,2,433,30.6,69,-43,10,6510,t,,2026-09-05 13:56:29.584588+00
4253,2,434,30.8,69,-45,9.25,6525,t,,2026-09-05 13:56:44.281307+00
4254,2,435,30.1,69,-46,9.5,6540,t,,2026-09-05 13:56:59.28192+00
4255,2,436,30.4,69,-46,9.75,6555,t,,2026-09-05 13:57:14.536213+00
4256,2,437,30.3,69,-45,9.75,6570,t,,2026-09-05 13:57:29.279165+00
4257,2,438,30.3,69,-46,9.5,6585,t,,2026-09-05 13:57:44.279863+00
4258,2,439,30.3,69,-46,9.75,6600,t,,2026-09-05 13:57:59.282698+00
4259,2,440,30.2,69,-42,9.5,6615,t,,2026-09-05 13:58:14.446261+00
4260,2,441,30.7,69,-43,10.25,6630,t,,2026-09-05 13:58:29.28155+00
4261,1,318,26.1,76.9,-100,-8.5,4785,t,,2026-09-05 13:58:40.692391+00
4262,2,442,30.6,69,-41,10,6645,t,,2026-09-05 13:58:44.346496+00
4263,2,443,30.6,69,-42,9.5,6660,t,,2026-09-05 13:58:59.279042+00
4264,2,445,30.6,69,-42,9.25,6690,t,,2026-09-05 13:59:29.276804+00
4265,1,322,26.1,76.7,-100,-10.25,4845,t,,2026-09-05 13:59:40.971407+00
4266,2,446,30.9,69,-43,9.75,6705,t,,2026-09-05 13:59:44.412023+00
4267,2,447,30.3,69,-44,9.5,6720,t,,2026-09-05 13:59:59.306318+00
4268,2,448,30.6,69,-43,9.5,6735,t,,2026-09-05 14:00:14.520496+00
4269,2,449,30.7,69,-45,10,6750,t,,2026-09-05 14:00:29.302914+00
4270,2,451,30.4,70,-43,10.5,6780,t,,2026-09-05 14:00:59.275901+00
4271,2,452,30.9,70,-43,9.5,6795,t,,2026-09-05 14:01:14.272259+00
4272,2,453,30.5,70,-42,10.75,6810,t,,2026-09-05 14:01:29.41299+00
4273,2,454,30.5,70,-43,9.75,6825,t,,2026-09-05 14:01:44.566553+00
4274,2,456,30.3,70,-43,9.5,6855,t,,2026-09-05 14:02:14.276803+00
4275,2,457,30,70,-43,10.25,6870,t,,2026-09-05 14:02:29.272927+00
4276,2,459,30.9,70,-43,9.25,6900,t,,2026-09-05 14:02:59.835938+00
4277,2,460,30.7,70,-46,9.25,6915,t,,2026-09-05 14:03:14.269322+00
4278,2,461,30.7,70,-47,9.25,6930,t,,2026-09-05 14:03:29.427484+00
