id,node_id,seq,n_samples,round_id,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
1073,1,288,32,65,0.489418,0.264649,0.05416,0.083479,-93,4.75,t,2026-09-05 15:28:07.072609+00
1074,2,804,32,66,0.489769,0.270147,0.068114,0.101331,-58,9.5,t,2026-09-05 15:28:59.937835+00
1075,1,292,32,66,0.489353,0.264623,0.054195,0.0835,-93,5,t,2026-09-05 15:29:06.881173+00
1076,2,808,32,66,0.492988,0.270977,0.065478,0.098774,-59,9.25,t,2026-09-05 15:30:01.553929+00
1077,1,296,32,66,0.48575,0.263578,0.055203,0.085076,-93,5,t,2026-09-05 15:30:06.974027+00
1078,2,812,32,66,0.492468,0.270545,0.065642,0.099015,-58,9.75,t,2026-09-05 15:30:59.815975+00
1079,1,300,32,66,0.485737,0.263569,0.055197,0.085071,-92,5.25,t,2026-09-05 15:31:07.187099+00
1080,1,304,32,66,0.485729,0.263565,0.055193,0.085071,-92,5,t,2026-09-05 15:32:06.98993+00
1081,2,820,32,66,0.491457,0.270108,0.066181,0.099808,-59,9.25,t,2026-09-05 15:32:59.831694+00
1082,1,308,32,66,0.485712,0.263553,0.055169,0.085055,-94,4.5,t,2026-09-05 15:33:07.40662+00
1083,2,824,32,67,0.4881,0.268424,0.067348,0.101524,-59,9.25,t,2026-09-05 15:33:59.82353+00
1084,1,312,32,67,0.485682,0.263544,0.055129,0.085091,-93,5,t,2026-09-05 15:34:07.229593+00
1085,2,828,32,67,0.491238,0.270334,0.066478,0.101013,-59,9,t,2026-09-05 15:34:59.840784+00
1086,1,316,32,67,0.483333,0.262431,0.055672,0.086459,-93,5,t,2026-09-05 15:35:06.827603+00
1087,1,320,32,67,0.483319,0.262422,0.055661,0.086455,-93,5.25,t,2026-09-05 15:36:07.324304+00
1088,2,836,32,67,0.489649,0.268792,0.066595,0.101185,-59,9.25,t,2026-09-05 15:36:59.965931+00
1089,1,324,32,67,0.483309,0.262416,0.055651,0.08645,-93,5,t,2026-09-05 15:37:07.024688+00
1090,2,840,32,67,0.488993,0.268266,0.066857,0.10157,-59,9.5,t,2026-09-05 15:38:00.078132+00
1091,2,844,32,68,0.485638,0.265167,0.068312,0.10371,-59,9.25,t,2026-09-05 15:38:59.956783+00
1092,1,332,32,68,0.483267,0.262397,0.055627,0.08647,-93,5.25,t,2026-09-05 15:39:07.297043+00
1093,2,848,32,68,0.488355,0.267629,0.066799,0.10213,-59,9.5,t,2026-09-05 15:40:00.07884+00
1094,1,336,32,68,0.480885,0.260217,0.056372,0.088212,-93,5.25,t,2026-09-05 15:40:07.97944+00
1095,2,852,32,68,0.488182,0.267462,0.067559,0.103067,-55,10,t,2026-09-05 15:41:00.091226+00
1096,1,340,32,68,0.480881,0.260215,0.05637,0.088211,-95,3,t,2026-09-05 15:41:06.850995+00
1097,2,856,32,68,0.487921,0.267245,0.068145,0.103911,-57,10.5,t,2026-09-05 15:41:59.746405+00
