id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,error,received_at
3118,1,634,24.1,79.8,-64,9.5,9525,t,,2026-08-31 20:00:15.689333+00
3119,2,627,29.1,64,-101,-8.75,9420,t,,2026-08-31 20:00:28.559515+00
3120,1,635,24.1,80.1,-65,9.5,9540,t,,2026-08-31 20:00:30.688197+00
3121,2,628,29.1,64,-102,-8.5,9435,t,,2026-08-31 20:00:43.559366+00
3122,1,636,24.1,80.2,-64,9.75,9555,t,,2026-08-31 20:00:45.689182+00
3123,2,629,29.1,64,-101,-9,9450,t,,2026-08-31 20:00:58.560111+00
3124,1,637,24.1,80.3,-65,9,9570,t,,2026-08-31 20:01:00.689708+00
3125,2,630,29.1,64,-102,-8.5,9465,t,,2026-08-31 20:01:13.558035+00
3126,1,638,24.1,80.4,-64,9.5,9585,t,,2026-08-31 20:01:15.6895+00
3127,2,631,29.1,64,-101,-7.75,9480,t,,2026-08-31 20:01:28.558728+00
3128,1,639,24.1,80.4,-65,9.25,9600,t,,2026-08-31 20:01:30.687726+00
3129,2,632,29,64,-102,-8.5,9495,t,,2026-08-31 20:01:43.557685+00
3130,1,640,24.1,80.3,-66,9.25,9615,t,,2026-08-31 20:01:55.317384+00
3131,1,641,24.1,80.3,-66,9.25,9630,t,,2026-08-31 20:02:12.554307+00
3132,1,642,24.1,80.3,-64,9.5,9645,t,,2026-08-31 20:02:24.648704+00
3133,2,635,29.6,64,-102,-6.25,9540,t,,2026-08-31 20:02:32.521316+00
3134,1,643,24.1,80.3,-64,9.5,9660,t,,2026-08-31 20:02:40.408914+00
3135,2,636,29.5,64,-101,-7.25,9555,t,,2026-08-31 20:02:43.847829+00
3136,1,644,24.1,80.4,-65,9.25,9675,t,,2026-08-31 20:02:45.686301+00
3137,2,637,29.1,64,-101,-6.5,9570,t,,2026-08-31 20:02:58.559821+00
3138,1,645,24.2,80.4,-64,9.5,9690,t,,2026-08-31 20:03:00.686212+00
3139,2,638,29.1,64,-101,-7.5,9585,t,,2026-08-31 20:03:13.554393+00
3140,1,646,24.2,80.6,-64,9.25,9705,t,,2026-08-31 20:03:15.685808+00
3141,2,639,29,64,-101,-7.25,9600,t,,2026-08-31 20:03:28.560974+00
3142,1,647,24.2,80.3,-64,9.5,9720,t,,2026-08-31 20:03:30.687666+00
3143,2,640,29.7,64,-101,-8.5,9615,t,,2026-08-31 20:03:43.553836+00
3144,1,648,24.2,80.4,-65,9.25,9735,t,,2026-08-31 20:03:45.685806+00
3145,2,641,29.7,64,-101,-9.25,9630,t,,2026-08-31 20:03:58.587035+00
3146,1,649,24.2,80.5,-65,9.25,9750,t,,2026-08-31 20:04:00.688417+00
3147,2,642,29.5,64,-101,-6.75,9645,t,,2026-08-31 20:04:13.551793+00
3148,1,650,24.2,80.4,-64,10.5,9765,t,,2026-08-31 20:04:15.683872+00
3149,2,643,29.2,64,-101,-5,9660,t,,2026-08-31 20:04:28.55246+00
3150,1,651,24.2,80.3,-65,9.5,9780,t,,2026-08-31 20:04:30.68374+00
3151,2,644,29.4,64,-101,-6.25,9675,t,,2026-08-31 20:04:43.552216+00
3152,1,652,24.2,80.3,-64,9.25,9795,t,,2026-08-31 20:04:45.684272+00
3153,2,645,29.7,64,-101,-5.75,9690,t,,2026-08-31 20:04:58.551121+00
3154,1,653,24.2,80.3,-64,9.5,9810,t,,2026-08-31 20:05:00.683546+00
3155,2,646,29.8,64,-101,-6.25,9705,t,,2026-08-31 20:05:13.550131+00
3156,1,654,24.2,80.3,-64,10,9825,t,,2026-08-31 20:05:15.683289+00
3157,2,647,29.4,64,-101,-7.5,9720,t,,2026-08-31 20:05:28.550817+00
3158,1,655,24.2,80.4,-64,10,9840,t,,2026-08-31 20:05:30.688755+00
3159,2,648,29.7,64,-101,-5.75,9735,t,,2026-08-31 20:05:43.551793+00
3160,1,656,24.2,80.5,-64,9.75,9855,t,,2026-08-31 20:05:45.682107+00
3161,2,649,29.7,64,-101,-5.75,9750,t,,2026-08-31 20:05:58.551892+00
3162,1,657,24.2,80.6,-64,9.5,9870,t,,2026-08-31 20:06:00.681831+00
3163,2,650,29.6,64,-101,-7.5,9765,t,,2026-08-31 20:06:13.54883+00
3164,1,658,24.2,80.7,-64,10.5,9885,t,,2026-08-31 20:06:15.6813+00
3165,2,651,29.6,64,-101,-5,9780,t,,2026-08-31 20:06:28.552455+00
3166,1,659,24.2,80.5,-65,9.5,9900,t,,2026-08-31 20:06:30.68149+00
3167,2,652,29.6,64,-101,-6.5,9795,t,,2026-08-31 20:06:43.548769+00
3168,1,660,24.3,80.3,-64,9.5,9915,t,,2026-08-31 20:06:45.683915+00
3169,2,653,29.5,64,-101,-4.75,9810,t,,2026-08-31 20:06:58.550838+00
3170,1,661,24.2,80.3,-65,9.25,9930,t,,2026-08-31 20:07:00.681941+00
3171,2,654,29.1,64,-102,-7.75,9825,t,,2026-08-31 20:07:13.548804+00
3172,1,662,24.2,80.2,-64,9.75,9945,t,,2026-08-31 20:07:15.680772+00
3173,2,655,29.9,64,-101,-7,9840,t,,2026-08-31 20:07:28.547089+00
3174,1,663,24.2,80.3,-64,9.5,9960,t,,2026-08-31 20:07:30.679767+00
